Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Ahmad Luthfi Mahar,10011,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Product Owner,Junior,Fully meets,COM,ChatAja,12/1/1974,Jawa,1/10/2011,1/12/2019,Another position,Voluntarily Terminated,Diversity Job Fair,4.2,4,4,0,1/30/2017,0,12
Akhdiyat Restu Fiqih,10012,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Product Owner,Junior,Fully meets,COM,UMEETME,02/21/74,Bali,4/2/2012,9/19/2018,unhappy,Voluntarily Terminated,Diversity Job Fair,4.2,4,3,0,5/6/2017,0,15
Alifia Sarah Mardiani,10013,Belum Menikah,Single,L,TKP/ Outsource,Business Analyst,Middle,Need improvement,EWD,Core Domain,4/7/1988,Bali,11/10/2014,,N/A-StillEmployed,Active,Diversity Job Fair,4.28,4,4,5,2/25/2020,0,9
Alwi Khairan Akhmad,10014,Belum Menikah,Single,L,TKP/ Outsource,Product Owner,Junior,Fully meets,EWD,Evaluate,07/20/83,Sunda,2/20/2012,,N/A-StillEmployed,Active,Google Search,4.6,5,4,0,2/14/2020,0,7
Amalia Erza Syafitri,10015,Menikah,Married,L,TKP/ Outsource,UI Designer,Junior,Special treatment,EWD,Pay,07/15/77,Cina,9/24/2012,4/6/2019,Another position,Voluntarily Terminated,On-line Web application,5,5,5,0,3/2/2018,0,1
Amalia Nurul Hidayah,10016,Belum Menikah,Single,L,TKP/ Outsource,UX Designer,Junior,Fully meets,EWD,Sales Cycle,10/18/81,Bali,2/21/2011,8/4/2019,attendance,Terminated for Cause,Google Search,5,5,4,0,4/5/2018,0,20
Andi Yayang Friandi,10017,Belum Menikah,Single,P,TKP/ Outsource,UI Designer,Senior,Fully meets,HLT,PeduliLindungi,04/17/66,Jawa,7/21/2016,,N/A-StillEmployed,Active,Employee Referral,4.4,4,3,0,1/14/2020,0,16
Andika Junisar Putri,10018,Menikah,Pernah Menikah/Bercerai,P,Prohire,UX Designer,Junior,Exceed,COM,OCA,10/27/70,Cina,4/4/2011,,N/A-StillEmployed,Active,Google Search,5,5,5,0,1/14/2020,0,12
Andre,10019,Belum Menikah,Single,P,Prohire,UI Designer,Junior,Fully meets,EDU,Squad Pijar Sekolah,4/4/1986,Padang,7/7/2014,9/12/2017,performance,Terminated for Cause,Google Search,4.5,5,4,5,1/15/2016,0,8
Andri Istiawan,10020,Belum Menikah,Single,L,Prohire,UI Designer,Junior,Special treatment,EWD,Core Domain,6/4/1979,Jawa,7/8/2013,,N/A-StillEmployed,Active,LinkedIn,4.2,4,4,0,1/11/2020,0,13
Andry Purnawati,10021,Belum Menikah,Single,L,TKP/ Outsource,UX Designer,Junior,Average,EWD,Sales Cycle  ,12/22/70,Sunda,4/2/2012,,N/A-StillEmployed,Active,Google Search,5,5,3,0,1/14/2020,0,13
Anita Dwi Kusrini,10022,Menikah,Married,P,TKP/ Outsource,UI Designer,Junior,Special treatment,FIN,Inpoin,12/27/58,Cina,8/19/2013,,N/A-StillEmployed,Active,Indeed,4.2,4,3,0,1/10/2020,0,2
Anjas Syarifudin Maharesi,10023,Menikah,Pernah Menikah/Bercerai,P,Prohire,UX Writer,Senior,Fully meets,FIN,MPS,1/9/1989,Jawa,7/7/2014,,N/A-StillEmployed,Active,Indeed,5,5,3,0,2/27/2020,0,19
Anne Lestari,10024,Menikah,Pernah Menikah/Bercerai,P,Prohire,UX Designer,Junior,Fully meets,EDU,Arkademy ,09/21/90,Padang,4/4/2011,,N/A-StillEmployed,Active,CareerBuilder,2,2,3,0,2/27/2020,2,3
Anshory Muhammad,10025,Menikah,Widowed,P,Prohire,UX Writer,Junior,Special treatment,ENT,MyPertamina,01/16/67,Padang,1/10/2011,4/4/2016,career change,Voluntarily Terminated,Google Search,4.8,5,5,0,3/4/2015,0,5
Arief Luthfi,10026,Belum Menikah,Single,L,TKP/ Outsource,Artificial Intelligent,Junior,Exceed,IHX,Squad B,07/30/64,Cina,2/17/2014,2/19/2018,Learned that he is a gangster,Terminated for Cause,LinkedIn,3.5,4,5,7,1/10/2017,0,2
Arini Indah,10027,Menikah,Widowed,P,TKP/ Outsource,UI Designer,Junior,Average,EDU,Squad Service Core,4/4/1987,Sunda,2/16/2015,,N/A-StillEmployed,Active,Diversity Job Fair,5,5,4,3,2/18/2020,0,4
Arisalsabila Wahyu Bawono,10028,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Senior,Average,FIN,Bonum,10/3/1970,Padang,9/30/2013,8/7/2016,retiring,Voluntarily Terminated,Indeed,3.39,3,3,0,2/20/2015,0,14
Arsya Shafira Firstri,10029,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Middle,Exceed,ENT,MyPertamina,08/24/90,Padang,4/2/2012,6/15/2015,Another position,Voluntarily Terminated,Google Search,3.35,3,4,0,3/4/2014,0,6
Arwani,10030,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Junior,Exceed,EDU,Squad Service Core,11/24/87,Bali,10/27/2008,,N/A-StillEmployed,Active,Diversity Job Fair,4.5,5,2,6,1/15/2020,0,14
Asep Yuhana,10031,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Exceed,FIN,Bonum,07/28/83,Padang,9/29/2014,,N/A-StillEmployed,Active,Google Search,3.19,3,3,0,2/1/2020,0,9
Asfah Faela Shufa,10032,Menikah,Married,P,TKP/ Outsource,Front End Developer,Senior,Average,EWD,Sales Cycle,10/30/69,Cina,11/11/2013,,N/A-StillEmployed,Active,Diversity Job Fair,3.5,4,5,0,1/21/2020,0,17
Astria Karismawati,10033,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Middle,Fully meets,EWD,RPA & Profitability,1/6/1964,Cina,8/15/2011,8/2/2016,Another position,Voluntarily Terminated,Google Search,3.14,3,5,0,2/10/2014,1,19
Astrid Noviasari Suprapto,10034,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Senior,Fully meets,IHX,Squad C,2/3/1980,Bali,3/5/2012,,N/A-StillEmployed,Active,Employee Referral,4.51,5,4,0,2/21/2020,0,3
Aulia Eka Fitriani,10035,Menikah,Married,L,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,ENT,MyPertamina,08/19/77,Sunda,4/4/2011,,N/A-StillEmployed,Active,Indeed,3.25,3,5,0,1/14/2020,0,15
Aura Camellia Ludica,10036,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Need improvement,FIN,Platform,11/22/66,Cina,8/15/2011,,N/A-StillEmployed,Active,Google Search,3.84,4,3,5,1/21/2020,0,4
Aviall Anggraina,10037,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Fully meets,HLT,PeduliLindungi,9/8/1983,Jawa,1/28/2016,,N/A-StillEmployed,Active,Indeed,5,5,3,0,2/22/2020,0,14
Ayu Bintang Nurrachma Gunawan,10038,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Middle,Need improvement,HLT,PeduliLindungi,5/4/1987,Padang,11/11/2013,,N/A-StillEmployed,Active,Indeed,4.96,5,4,6,1/30/2020,0,3
Ayu Prihatini Novianingrum Romadani,10039,Menikah,Pernah Menikah/Bercerai,L,Prohire,Front End Developer,Junior,Fully meets,IHX,Lead/Reviewer/Maintener,2/2/1983,Bali,3/31/2014,,N/A-StillEmployed,Active,LinkedIn,4.43,4,3,0,2/1/2020,0,14
Bagus,10040,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Fully meets,IHX,Squad B,6/6/1986,Sunda,6/30/2016,,N/A-StillEmployed,Active,LinkedIn,5,5,5,6,2/18/2020,0,7
Bagus Indra Febrianto,10041,Belum Menikah,Single,P,Prohire,Mobile Developer Android,Junior,Special treatment,IHX,Squad D,05/15/63,Padang,8/18/2014,,N/A-StillEmployed,Active,Indeed,5,5,5,0,1/21/2020,0,7
Bagus Tri Harjanto,10042,Menikah,Married,P,TKP/ Outsource,Back End Developer,Middle,Fully meets,EWD,Explore,2/1/1951,Bali,9/29/2014,,N/A-StillEmployed,Active,Google Search,5,5,4,0,2/12/2020,0,11
Bayu Aji Kurniawan,10043,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Average,FIN,Inpoin,9/2/1972,Cina,9/6/2016,,N/A-StillEmployed,Active,Indeed,4.5,5,5,7,1/15/2020,0,8
Bayu Anugrah,10044,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Junior,Average,EWD,AM Performance,12/2/1979,Bali,5/12/2014,,N/A-StillEmployed,Active,Indeed,3.3,3,4,0,2/19/2020,0,11
Bayusandya Tresnayatna,10045,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Senior,Need improvement,ENT,MyPertamina,08/24/83,Padang,7/8/2013,,N/A-StillEmployed,Active,LinkedIn,3.8,4,5,0,1/14/2020,0,4
Brilliant Djaka Irfanudin Rofiq,10046,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Exceed,FIN,Inpoin,11/6/1970,Bali,5/14/2012,,N/A-StillEmployed,Active,Employee Referral,3,3,5,0,1/19/2020,0,17
Burhanudin Ramdhani,10047,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Average,FIN,Bonum,08/27/83,Jawa,6/27/2011,11/15/2017,relocation out of area,Voluntarily Terminated,Indeed,4.3,4,4,0,3/10/2016,0,3
Calvinza Herman,10048,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Average,LGT,Logee Truck Web,05/31/88,Sunda,10/3/2011,,N/A-StillEmployed,Active,Indeed,3.58,4,5,0,1/30/2020,0,3
Chika Mareyza Anjani,10049,Menikah,Married,L,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Control Tower,5/9/1985,Padang,9/5/2012,,N/A-StillEmployed,Active,Indeed,4.7,5,3,6,2/27/2020,0,2
Christi Yanti Pardede,10050,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Pijar Corpu,08/31/81,Bali,5/16/2011,1/7/2015,unhappy,Voluntarily Terminated,Google Search,4.2,4,5,0,5/3/2013,0,9
Christian S. X. Kembuan,10051,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Back End Developer,Senior,Average,COM,ChatAja,11/25/78,Sunda,8/30/2010,9/26/2013,career change,Voluntarily Terminated,Indeed,4.2,4,4,0,5/4/2012,0,6
Cipta Pakarti Puji Akasyah,10052,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Mobile Developer Android,Senior,Special treatment,FIN,MPS,08/26/80,Bali,7/6/2016,,N/A-StillEmployed,Active,Employee Referral,4.1,4,4,0,2/28/2020,0,5
Claudia Cahya P,10053,Menikah,Widowed,L,TKP/ Outsource,System Documentation,Junior,Need improvement,LGT,Logee Truck All Product,8/9/1977,Padang,7/8/2013,,N/A-StillEmployed,Active,Employee Referral,4.4,4,5,0,1/14/2020,0,3
Darin Afaf Rafinda,10054,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Junior,Fully meets,VGA,Ads Based,12/8/1979,Jawa,7/11/2011,9/23/2018,performance,Terminated for Cause,LinkedIn,2,2,3,0,5/1/2017,5,16
David Suryana Adie,10055,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Need improvement,VGA,IndiBOX Apps,12/17/75,Sunda,7/20/2010,,N/A-StillEmployed,Active,CareerBuilder,4.13,4,2,0,1/14/2020,3,3
Debby Safira,10056,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Junior,Exceed,IHL,IndiHome Smart,03/19/83,Jawa,1/5/2009,,N/A-StillEmployed,Active,Indeed,3.7,4,5,0,2/4/2020,0,15
Deddy Nur Hidayat,10057,Menikah,Married,P,TKP/ Outsource,Front End Developer,Senior,Fully meets,IHL,IndiHome Study,03/31/77,Jawa,1/5/2015,,N/A-StillEmployed,Active,Indeed,4.73,5,5,0,2/14/2020,0,6
Delicia Generis Humani,10058,Menikah,Married,L,TKP/ Outsource,Front End Developer,Junior,Exceed,FIN,Platform,08/26/86,Cina,3/30/2015,,N/A-StillEmployed,Active,Indeed,3.04,3,3,6,1/22/2020,0,2
Denandra Prasetya Laksma Putra,10059,Menikah,Married,P,TKP/ Outsource,Front End Developer,Senior,Average,FIN,Platform,10/4/1987,Bali,7/6/2016,,N/A-StillEmployed,Active,LinkedIn,4.12,4,5,0,1/28/2020,0,15
Dendy Ramdhan Fauzy,10060,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Need improvement,IHX,Squad B,9/9/1965,Padang,11/10/2014,,N/A-StillEmployed,Active,Employee Referral,5,5,3,4,1/2/2020,0,5
Devi,10061,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Exceed,IHX,Squad C,04/19/90,Bali,5/5/2014,,N/A-StillEmployed,Active,Indeed,4.62,5,4,0,1/24/2020,0,8
Dewi Hapsari,10062,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Front End Developer,Senior,Exceed,EWD,Refactoring New IA,01/18/52,Cina,11/10/2014,,N/A-StillEmployed,Active,LinkedIn,3.1,3,5,8,2/12/2020,0,19
Dewi Rahayu,10063,Menikah,Widowed,P,Prohire,Mobile Developer Android,Senior,Need improvement,VGA,Ads Based,5/11/1978,Sunda,7/2/2012,,N/A-StillEmployed,Active,Indeed,5,5,3,0,2/25/2020,0,1
Dhieo Deva Alavanta,10064,Menikah,Widowed,L,TKP/ Outsource,Mobile Developer Android,Junior,Special treatment,VGA,IndiBOX Apps,09/14/79,Cina,11/7/2011,,N/A-StillEmployed,Active,LinkedIn,3.96,4,4,0,2/27/2020,0,6
Dian Putri Paramitha Rais,10065,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Exceed,ENT,MyPertamina,04/15/88,Bali,7/9/2018,,N/A-StillEmployed,Active,Indeed,4.3,4,4,3,1/31/2020,2,2
Difa Al,10066,Menikah,Married,L,TKP/ Outsource,Mobile Developer Android,Junior,Need improvement,EDU,Squad Service Core,10/31/77,Cina,5/16/2011,6/8/2018,unhappy,Voluntarily Terminated,Indeed,5,5,4,0,4/2/2017,0,14
Dimas Bayu Suseno,10067,Belum Menikah,Single,P,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,COM,ChatAja,5/7/1979,Jawa,1/9/2012,,N/A-StillEmployed,Active,CareerBuilder,3.79,4,5,5,1/25/2020,0,8
Dimas Pratama,10068,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer iOS,Middle,Fully meets,COM,ChatAja,2/11/1975,Sunda,9/29/2014,,N/A-StillEmployed,Active,Indeed,1.93,2,3,0,1/30/2020,6,5
Dini Agustini Fajri,10069,Menikah,Married,P,TKP/ Outsource,Back End Developer,Middle,Exceed,VGA,Ads Based,02/25/51,Sunda,4/4/2011,11/4/2017,more money,Voluntarily Terminated,Google Search,4.62,5,5,0,5/6/2016,0,1
Dwi Erviana,10070,Menikah,Widowed,L,TKP/ Outsource,Back End Developer,Junior,Average,IHL,IndiHome Smart,04/19/67,Bali,7/7/2014,,N/A-StillEmployed,Active,Indeed,1.12,1,2,0,1/31/2020,4,9
Dyva Agna Fauzan,10071,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Front End Developer,Junior,Exceed,EDU,Squad Pijar Corpu,4/9/1983,Cina,2/15/2017,,N/A-StillEmployed,Active,Indeed,3.01,3,5,7,1/23/2020,0,15
Egi Chandra Legita,10072,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Delivery & Project Mgt,11/15/82,Cina,5/12/2014,,N/A-StillEmployed,Active,Indeed,4.3,4,4,0,2/19/2020,0,1
Egy Haekal Achmad,10073,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Middle,Special treatment,ENT,NETMONK,05/14/87,Cina,2/20/2012,,N/A-StillEmployed,Active,Website,2.3,2,1,0,1/29/2020,2,17
Eka Risyana Pribadi,10074,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Middle,Average,EWD,Evaluate,2/12/1978,Bali,1/7/2013,,N/A-StillEmployed,Active,Indeed,3.88,4,4,0,1/18/2020,0,6
Eki Mandjasari,10075,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Pay,7/10/1986,Jawa,4/2/2012,,N/A-StillEmployed,Active,CareerBuilder,3.4,3,5,0,2/19/2020,0,15
Eki Rizki Pratama Putra,10076,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,DevOps Engineer,Junior,Special treatment,EWD,Payment - SSOF,07/18/88,Jawa,1/5/2015,,N/A-StillEmployed,Active,Employee Referral,4.11,4,4,6,2/25/2020,0,16
Enny,10077,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Average,EDU,Squad Pijar Corpu,9/7/1970,Bali,1/5/2014,,N/A-StillEmployed,Active,Indeed,4.3,4,5,5,1/4/2020,0,4
Erdin Suharyadi,10078,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Average,EDU,Squad Pijar Sekolah,8/11/1988,Padang,1/10/2011,,N/A-StillEmployed,Active,Indeed,4.77,5,5,0,1/27/2020,0,14
Ester Vanessa,10079,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Fully meets,COM,UMEETME,11/28/73,Cina,9/18/2014,,N/A-StillEmployed,Active,Google Search,4.52,5,4,0,1/15/2020,0,4
Estha Triani Juansah,10080,Menikah,Widowed,P,TKP/ Outsource,System Documentation,Junior,Exceed,COM,ChatAja,09/23/73,Bali,4/26/2010,,N/A-StillEmployed,Active,Google Search,2.9,3,3,0,1/21/2020,0,6
Evi Sitorus,10081,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Junior,Average,EWD,Product & Content Management System,5/9/1991,Cina,4/4/2011,6/6/2019,military,Voluntarily Terminated,Google Search,5,5,3,0,4/9/2018,0,7
Fadilla Nur Elminasari,10082,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Middle,Special treatment,ENT,MyPertamina,05/31/74,Jawa,11/10/2014,,N/A-StillEmployed,Active,LinkedIn,4.7,5,5,0,2/13/2020,0,8
Fahmi Alhafid,10083,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Average,COM,UMEETME,08/25/78,Sunda,3/31/2014,,N/A-StillEmployed,Active,Employee Referral,4.2,4,3,0,1/11/2020,0,3
Fairuzh Shalma N,10084,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Average,COM,Vutura,08/25/89,Cina,7/7/2014,,N/A-StillEmployed,Active,Indeed,3,3,1,0,2/25/2020,2,5
Faisal Fahlevi,10085,Belum Menikah,Single,L,Prohire,Front End Developer,Senior,Need improvement,IHX,Squad D,2/9/1983,Padang,4/2/2012,9/27/2020,attendance,Terminated for Cause,Google Search,5,5,4,0,4/12/2019,5,16
Faishal Mahdy Nail,10086,Belum Menikah,Single,P,Prohire,Back End Developer,Senior,Average,COM,Vutura,6/5/1989,Jawa,2/17/2014,2/25/2020,"no-call, no-show",Terminated for Cause,Google Search,2.3,2,3,0,1/15/2018,5,19
Fajar Lesmana,10087,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Average,VGA,IndiBOX Apps,05/15/87,Bali,5/2/2011,6/5/2015,attendance,Terminated for Cause,Indeed,2.1,2,5,4,8/10/2013,4,19
Fakhri Ridho Dhiyamatra,10088,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Service Core,09/22/78,Cina,7/7/2014,,N/A-StillEmployed,Active,LinkedIn,4.4,4,5,0,2/22/2020,0,17
Fany Amalia,10089,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Senior,Need improvement,COM,Vutura,09/27/87,Cina,2/17/2014,,N/A-StillEmployed,Active,LinkedIn,4,4,4,0,1/7/2020,0,7
Faraz Ayudia A,10090,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Middle,Exceed,EWD,RPA & Profitability,04/14/55,Jawa,11/7/2011,5/17/2018,military,Voluntarily Terminated,Google Search,3.13,3,3,0,2/4/2017,0,16
Fauza Alfisyahrin,10091,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer Android,Middle,Need improvement,IHX,Squad B,10/18/89,Jawa,5/11/2015,,N/A-StillEmployed,Active,Indeed,1.56,2,5,0,1/3/2020,6,15
Fauzan Indra,10092,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,IHX,Squad D,06/18/87,Padang,3/30/2015,,N/A-StillEmployed,Active,LinkedIn,1.2,1,3,6,2/4/2020,3,2
Fauzi Radian Hantoro,10093,Menikah,Widowed,P,TKP/ Outsource,Mobile Developer Android,Junior,Average,EWD,Data & Dashboard Analytics,03/16/81,Padang,1/9/2012,,N/A-StillEmployed,Active,Google Search,5,5,5,0,1/29/2020,0,19
Fauzi Zaki Ma'ruf,10094,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer Android,Middle,Fully meets,EWD,Explore,1/10/1981,Sunda,5/16/2011,6/24/2015,hours,Voluntarily Terminated,Google Search,4.76,5,5,0,4/5/2014,0,20
Febby Wijaya,10095,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Need improvement,ENT,NETMONK,8/11/1983,Padang,4/4/2011,1/9/2015,career change,Voluntarily Terminated,Google Search,3.66,4,3,0,1/7/2013,0,6
Ferli,10096,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Average,EWD,RPA & Profitability,7/7/1975,Sunda,9/29/2014,8/19/2020,Fatal attraction,Terminated for Cause,Employee Referral,2,2,5,0,1/28/2020,4,7
Fikri Akbar,10097,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Explore,5/7/1980,Sunda,4/15/2011,,N/A-StillEmployed,Active,Indeed,5,5,5,5,1/7/2020,0,15
Fikri Auliya Rahman,10098,Menikah,Married,P,TKP/ Outsource,Front End Developer,Senior,Fully meets,COM,ChatAja,04/16/79,Padang,1/5/2009,,N/A-StillEmployed,Active,Other,5,5,3,2,2/8/2020,0,3
Fransky,10099,Belum Menikah,Single,L,TKP/ Outsource,System Documentation,Junior,Average,FIN,MPS,08/28/63,Cina,9/6/2011,,N/A-StillEmployed,Active,CareerBuilder,4.3,4,3,0,1/27/2020,2,7
Freza Nugraha,10100,Belum Menikah,Single,P,Prohire,System Documentation,Junior,Exceed,FIN,Inpoin,6/7/1968,Padang,5/1/2010,,N/A-StillEmployed,Active,LinkedIn,4.7,5,4,5,2/1/2020,0,1
Gabe Rizky Putra,10101,Menikah,Pernah Menikah/Bercerai,L,Prohire,Back End Developer,Middle,Need improvement,COM,ChatAja,09/15/85,Bali,3/30/2015,,N/A-StillEmployed,Active,Employee Referral,4.5,5,3,0,2/18/2020,0,5
Gana,10102,Menikah,Married,P,Prohire,Back End Developer,Junior,Fully meets,ENT,Intermoda,2/12/1983,Cina,5/16/2011,,N/A-StillEmployed,Active,LinkedIn,4.2,4,4,0,2/26/2020,0,12
Gema Saputera,10103,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Fully meets,COM,ChatAja,1/10/1990,Jawa,3/30/2015,,N/A-StillEmployed,Active,LinkedIn,3.73,4,3,0,1/16/2020,0,19
Gerald Ghibran Gunasha,10104,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Special treatment,FIN,GTM,05/15/70,Jawa,11/7/2011,11/15/2018,hours,Voluntarily Terminated,Diversity Job Fair,4.24,4,4,0,4/29/2017,0,2
Geraldy Martin Pangabean,10105,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Fully meets,EWD,Active & Install,10/7/1971,Sunda,7/7/2014,9/5/2017,attendance,Terminated for Cause,CareerBuilder,3.97,4,4,0,1/15/2015,0,7
Gilang Ramadhan,10106,Menikah,Widowed,L,TKP/ Outsource,Front End Developer,Junior,Fully meets,EWD,Evaluate,9/8/1974,Cina,4/2/2012,6/25/2017,military,Voluntarily Terminated,Diversity Job Fair,3.97,4,4,0,1/20/2016,3,15
Gilbi,10107,Menikah,Widowed,P,Prohire,Back End Developer,Junior,Special treatment,EWD,Explore,8/5/1980,Bali,9/29/2014,,N/A-StillEmployed,Active,Indeed,3.9,4,4,0,2/7/2020,0,3
Giska Adilah Sharfina Saputra,10108,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Junior,Fully meets,EWD,Get Support & Terminated,09/22/89,Padang,2/16/2015,,N/A-StillEmployed,Active,Indeed,4.5,5,5,0,1/25/2020,0,20
